team_home,game_id,score_home,first_downs_home,first_downs_from_passing_home,first_downs_from_rushing_home,first_downs_from_penalty_home,third_down_comp_home,third_down_att_home,fourth_down_comp_home,fourth_down_att_home,plays_home,drives_home,yards_home,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_home,sacks_yards_home,rush_att_home,rush_yards_home,pen_num_home,pen_yards_home,redzone_comp_home,redzone_att_home,fumbles_home,interceptions_home,def_st_td_home,possession_home,points_allowed_home,yards_allowed_home,team_away,score_away,first_downs_away,first_downs_from_passing_away,first_downs_from_rushing_away,first_downs_from_penalty_away,third_down_comp_away,third_down_att_away,fourth_down_comp_away,fourth_down_att_away,plays_away,drives_away,yards_away,pass_comp_away,pass_att_away,pass_yards_away,sacks_num_away,sacks_yards_away,rush_att_away,rush_yards_away,pen_num_away,pen_yards_away,redzone_comp_away,redzone_att_away,fumbles_away,interceptions_away,def_st_td_away,possession_away,points_allowed_away,yards_allowed_away,week,season,home_win,def_st_td_diff,drives_diff,first_downs_from_passing_diff,first_downs_from_penalty_diff,first_downs_from_rushing_diff,first_downs_diff,fourth_down_att_diff,fourth_down_comp_diff,fumbles_diff,interceptions_diff,pass_att_diff,pass_comp_diff,pass_yards_diff,pen_num_diff,pen_yards_diff,plays_diff,points_allowed_diff,possession_diff,redzone_att_diff,redzone_comp_diff,rush_att_diff,rush_yards_diff,sacks_num_diff,sacks_yards_diff,score_diff,third_down_att_diff,third_down_comp_diff,yards_allowed_diff,yards_diff
49ers,842,15.5,10.0,8.5,1.0,0.5,2.0,9.5,0.0,0.0,44.0,10.5,179.5,13.0,22.5,133.5,2.5,16.0,19.0,46.0,3.5,22.5,0.0,1.5,1.0,1.5,0.5,1280.0,33.5,494.0,Cowboys,20.5,18.5,11.5,4.5,2.5,7.0,14.0,0.0,0.5,63.0,11.0,326.0,19.5,30.0,226.5,2.0,17.0,31.0,99.5,7.5,53.0,0.0,3.0,0.5,0.0,0.0,1898.0,19.0,318.5,3.0,2005,0.0,0.5,-0.5,-10.0,-11.0,-1.5,5.5,-0.5,0.0,0.5,1.5,-7.5,-6.5,-93.0,-4.0,-30.5,-19.0,14.5,-618.0,-1.5,0.0,-12.0,-53.5,0.5,-1.0,-5.0,-4.5,-5.0,175.5,-146.5
49ers,869,19.0,11.75,8.75,2.5,0.5,3.5,10.75,0.0,0.25,49.75,11.25,229.25,16.0,27.5,162.5,3.0,19.5,19.25,66.75,5.75,41.0,0.0,1.75,1.5,1.5,1.5,1391.75,33.0,473.5,Colts,19.5,19.75,11.75,6.75,1.25,5.25,12.0,0.0,0.25,59.25,9.5,327.75,18.25,28.5,217.0,0.0,0.0,30.75,110.75,4.25,28.75,0.0,2.5,0.0,0.5,0.5,1698.75,6.5,320.0,5.0,2005,0.0,1.0,1.75,-11.0,-11.25,1.25,5.0,0.0,0.0,1.5,1.0,-1.0,-2.25,-54.5,1.5,12.25,-9.5,26.5,-307.0,-0.75,0.0,-11.5,-44.0,3.0,19.5,-0.5,-1.25,-1.75,153.5,-98.5
49ers,913,16.0,11.333333333333334,7.0,3.1666666666666665,1.1666666666666667,3.3333333333333335,11.5,0.16666666666666666,0.3333333333333333,50.333333333333336,12.0,214.66666666666666,13.5,24.833333333333332,124.66666666666667,3.6666666666666665,24.333333333333332,21.833333333333332,90.0,5.833333333333333,38.833333333333336,0.0,1.6666666666666667,1.3333333333333333,1.8333333333333333,1.0,1486.1666666666667,35.333333333333336,452.6666666666667,Buccaneers,19.333333333333332,16.833333333333332,9.666666666666666,5.666666666666667,1.5,6.666666666666667,15.666666666666666,0.3333333333333333,0.3333333333333333,65.33333333333333,12.166666666666666,322.6666666666667,19.666666666666668,30.666666666666668,184.16666666666666,2.3333333333333335,16.666666666666668,32.333333333333336,138.5,10.333333333333334,84.66666666666667,0.0,2.5,0.3333333333333333,1.1666666666666667,0.3333333333333333,2041.8333333333333,12.0,233.33333333333334,8.0,2005,1.0,0.6666666666666667,-0.16666666666666607,-9.833333333333332,-8.5,1.6666666666666665,5.666666666666667,0.0,-0.16666666666666666,1.0,0.6666666666666665,-5.833333333333336,-6.166666666666668,-59.499999999999986,-4.500000000000001,-45.833333333333336,-14.999999999999993,23.333333333333336,-555.6666666666665,-0.8333333333333333,0.0,-10.500000000000004,-48.5,1.333333333333333,7.666666666666664,-3.333333333333332,-4.166666666666666,-3.3333333333333335,219.33333333333334,-108.00000000000003
49ers,925,15.857142857142858,11.0,6.142857142857143,3.7142857142857144,1.1428571428571428,3.142857142857143,12.142857142857142,0.14285714285714285,0.2857142857142857,51.42857142857143,12.857142857142858,213.71428571428572,12.714285714285714,24.0,114.0,3.142857142857143,20.857142857142858,24.285714285714285,99.71428571428571,6.0,42.57142857142857,0.0,1.5714285714285714,1.1428571428571428,1.5714285714285714,0.8571428571428571,1533.7142857142858,31.714285714285715,427.2857142857143,Giants,29.857142857142858,18.285714285714285,9.571428571428571,6.714285714285714,2.0,5.0,12.857142857142858,0.2857142857142857,0.5714285714285714,61.0,13.714285714285714,339.85714285714283,16.428571428571427,32.142857142857146,209.42857142857142,1.7142857142857142,13.428571428571429,27.142857142857142,130.42857142857142,8.714285714285714,66.85714285714286,0.0,4.428571428571429,0.8571428571428571,0.7142857142857143,0.2857142857142857,1702.142857142857,19.571428571428573,370.85714285714283,9.0,2005,0.0,0.5714285714285714,-0.8571428571428559,-12.142857142857142,-8.428571428571429,1.7142857142857144,4.285714285714286,-0.2857142857142857,-0.14285714285714285,0.2857142857142857,0.8571428571428571,-8.142857142857146,-3.7142857142857135,-95.42857142857142,-2.7142857142857135,-24.285714285714292,-9.57142857142857,12.142857142857142,-168.42857142857133,-2.8571428571428577,0.0,-2.8571428571428577,-30.714285714285708,1.4285714285714286,7.428571428571429,-14.0,-0.7142857142857153,-1.8571428571428572,56.428571428571445,-126.14285714285711
49ers,955,14.0,10.555555555555555,5.111111111111111,3.888888888888889,1.5555555555555556,3.0,12.777777777777779,0.2222222222222222,0.4444444444444444,51.666666666666664,12.222222222222221,199.44444444444446,11.333333333333334,22.444444444444443,101.33333333333333,2.7777777777777777,18.0,26.444444444444443,98.11111111111111,7.111111111111111,50.888888888888886,0.0,1.5555555555555556,1.0,1.4444444444444444,0.6666666666666666,1579.6666666666667,29.22222222222222,397.1111111111111,Seahawks,27.22222222222222,23.77777777777778,12.333333333333334,9.444444444444445,2.0,4.888888888888889,11.666666666666666,0.4444444444444444,0.4444444444444444,64.11111111111111,11.222222222222221,391.0,20.22222222222222,31.77777777777778,229.88888888888889,1.6666666666666667,10.777777777777779,30.666666666666668,161.11111111111111,6.333333333333333,57.333333333333336,0.0,4.111111111111111,0.5555555555555556,0.7777777777777778,0.0,1784.111111111111,18.0,313.55555555555554,11.0,2005,0.0,0.6666666666666666,1.0,-18.666666666666668,-10.777777777777779,1.8888888888888888,1.1111111111111107,0.0,-0.2222222222222222,0.4444444444444444,0.6666666666666666,-9.333333333333336,-8.888888888888888,-128.55555555555554,0.7777777777777777,-6.44444444444445,-12.44444444444445,11.222222222222221,-204.44444444444434,-2.5555555555555554,0.0,-4.222222222222225,-63.0,1.111111111111111,7.222222222222221,-13.222222222222221,1.1111111111111125,-1.8888888888888893,83.55555555555554,-191.55555555555554
49ers,988,15.727272727272727,11.545454545454545,6.181818181818182,3.909090909090909,1.4545454545454546,3.1818181818181817,13.0,0.45454545454545453,0.6363636363636364,53.72727272727273,12.545454545454545,217.45454545454547,13.0,24.90909090909091,120.45454545454545,2.8181818181818183,17.272727272727273,26.0,97.0,6.7272727272727275,47.90909090909091,0.0,2.0,1.0909090909090908,1.3636363636363635,0.7272727272727273,1619.3636363636363,29.363636363636363,400.72727272727275,Cardinals,20.181818181818183,19.181818181818183,14.0,3.909090909090909,1.2727272727272727,5.636363636363637,14.818181818181818,0.36363636363636365,1.0909090909090908,67.18181818181819,12.818181818181818,345.0,25.636363636363637,42.36363636363637,275.1818181818182,2.727272727272727,17.727272727272727,22.09090909090909,69.81818181818181,8.909090909090908,71.72727272727273,0.0,2.909090909090909,0.9090909090909091,1.2727272727272727,0.36363636363636365,1836.2727272727273,26.545454545454547,328.90909090909093,13.0,2005,0.0,0.36363636363636365,-0.2727272727272734,-13.000000000000002,-12.545454545454545,2.6363636363636367,7.636363636363636,-0.4545454545454545,0.09090909090909088,0.18181818181818177,0.09090909090909083,-17.454545454545457,-12.636363636363637,-154.72727272727275,-2.1818181818181808,-23.818181818181827,-13.45454545454546,2.8181818181818166,-216.909090909091,-0.9090909090909092,0.0,3.90909090909091,27.181818181818187,0.09090909090909127,-0.45454545454545325,-4.454545454545457,-1.8181818181818183,-2.454545454545455,71.81818181818181,-127.54545454545453
49ers,1052,14.6,11.466666666666667,5.933333333333334,4.066666666666666,1.4666666666666666,2.8,12.333333333333334,0.3333333333333333,0.5333333333333333,52.4,12.666666666666666,217.53333333333333,12.533333333333333,24.0,117.06666666666666,3.0,18.333333333333332,25.4,100.46666666666667,6.733333333333333,49.86666666666667,0.0,1.7333333333333334,0.9333333333333333,1.3333333333333333,0.5333333333333333,1591.4666666666667,27.4,398.3333333333333,Texans,16.2,15.333333333333334,8.933333333333334,5.6,0.8,4.733333333333333,13.6,0.5333333333333333,1.1333333333333333,59.53333333333333,11.133333333333333,251.26666666666668,16.8,27.533333333333335,136.06666666666666,4.533333333333333,28.266666666666666,27.466666666666665,115.2,6.533333333333333,52.0,0.0,2.2666666666666666,0.7333333333333333,0.7333333333333333,0.13333333333333333,1727.3333333333333,27.4,366.6666666666667,17.0,2005,1.0,0.4,1.5333333333333332,-9.4,-7.466666666666667,3.2666666666666666,5.866666666666667,-0.6,-0.2,0.20000000000000007,0.6,-3.533333333333335,-4.2666666666666675,-19.0,0.20000000000000018,-2.133333333333333,-7.133333333333333,0.0,-135.86666666666656,-0.5333333333333332,0.0,-2.0666666666666664,-14.733333333333334,-1.5333333333333332,-9.933333333333334,-1.5999999999999996,-1.2666666666666657,-1.9333333333333336,31.66666666666663,-33.73333333333335
Bears,823,7.0,11.0,9.0,2.0,0.0,6.0,13.0,0.0,0.0,49.0,10.0,166.0,15.0,28.0,125.0,3.0,16.0,18.0,41.0,8.0,86.0,0.0,1.0,1.0,1.0,0.0,1545.0,9.0,323.0,Lions,17.0,18.0,10.0,2.0,6.0,6.0,15.0,0.0,1.0,61.0,12.0,254.0,15.0,28.0,152.0,2.0,15.0,31.0,102.0,4.0,38.0,0.0,3.0,0.0,0.0,0.0,1736.0,3.0,216.0,2.0,2005,1.0,0.0,-2.0,-9.0,-10.0,-4.0,9.0,-1.0,0.0,1.0,1.0,0.0,0.0,-27.0,4.0,48.0,-12.0,6.0,-191.0,-2.0,0.0,-13.0,-61.0,1.0,1.0,-10.0,-2.0,0.0,107.0,-88.0
Bears,840,22.5,14.5,7.0,7.5,0.0,7.0,14.0,0.0,0.0,55.0,10.5,251.0,15.0,25.0,137.0,2.5,14.0,27.5,114.0,7.0,63.0,0.0,2.0,0.5,0.5,1.5,1768.5,7.5,278.5,Bengals,32.0,26.0,15.5,9.0,1.5,5.0,12.5,0.5,1.0,73.5,11.5,462.0,26.5,37.0,304.5,1.0,4.0,35.5,157.5,11.0,77.5,0.0,6.0,0.5,1.0,0.0,2186.5,10.5,338.5,3.0,2005,0.0,1.5,-1.0,-19.0,-15.5,6.0,5.5,-1.0,-0.5,0.0,-0.5,-12.0,-11.5,-167.5,-4.0,-14.5,-18.5,-3.0,-418.0,-4.0,0.0,-8.0,-43.5,1.5,10.0,-9.5,1.5,2.0,-60.0,-211.0
Bears,882,15.5,15.25,7.5,7.0,0.75,5.5,14.0,0.5,1.25,60.25,12.0,255.75,15.75,28.75,128.25,2.25,13.75,29.25,127.5,7.0,67.75,0.0,1.75,1.25,1.5,0.75,1785.75,14.75,269.75,Vikings,16.0,18.5,11.5,4.0,3.0,4.25,11.75,0.5,0.5,59.25,11.25,308.25,21.75,33.25,228.5,5.0,26.25,21.0,79.75,8.75,65.75,0.0,2.75,1.25,2.5,0.5,1745.5,26.75,378.25,6.0,2005,1.0,0.25,0.75,-11.0,-10.75,4.0,11.25,0.75,0.0,0.0,-1.0,-4.5,-6.0,-100.25,-1.75,2.0,1.0,-12.0,40.25,-1.0,0.0,8.25,47.75,-2.75,-12.5,-0.5,2.25,1.25,-108.5,-52.5
Bears,899,18.0,15.4,7.8,6.4,1.2,5.0,13.2,0.4,1.2,59.8,12.4,243.0,15.8,28.0,122.0,2.4,15.0,29.4,121.0,7.2,65.8,0.0,2.2,1.4,1.4,0.6,1760.2,12.4,272.4,Ravens,12.6,18.6,11.6,5.6,1.4,5.2,14.8,1.2,1.4,67.4,12.8,316.0,23.4,36.8,213.0,2.2,17.8,28.4,103.0,10.6,76.2,0.0,3.0,1.0,1.6,0.0,1975.4,18.0,246.8,7.0,2005,1.0,0.6,-0.40000000000000036,-10.8,-10.4,5.0,9.8,-0.19999999999999996,-0.7999999999999999,0.3999999999999999,-0.20000000000000018,-8.799999999999997,-7.599999999999998,-91.0,-3.3999999999999995,-10.400000000000006,-7.6000000000000085,-5.6,-215.20000000000005,-0.7999999999999998,0.0,1.0,18.0,0.19999999999999973,-2.8000000000000007,5.4,-1.6000000000000014,-0.20000000000000018,25.599999999999966,-73.0
Bears,932,17.375,15.375,7.875,6.0,1.5,4.25,13.375,0.5,1.0,60.125,12.625,267.25,15.375,28.25,136.5,2.25,13.125,29.625,130.75,7.875,65.5,0.0,2.375,1.125,1.125,0.625,1762.375,12.25,265.25,49ers,14.625,10.75,5.625,3.625,1.5,3.125,12.375,0.25,0.375,50.75,12.625,204.25,12.625,23.625,110.5,3.125,20.25,24.0,93.75,6.75,47.25,0.0,1.375,1.0,1.5,0.75,1543.875,30.75,416.875,10.0,2005,1.0,-0.125,0.0,-2.875,-4.125,4.5,11.75,0.625,0.25,0.125,-0.375,4.625,2.75,26.0,1.125,18.25,9.375,-18.5,218.5,1.0,0.0,5.625,37.0,-0.875,-7.125,2.75,1.0,1.125,-151.625,63.0
Bears,950,17.333333333333332,15.0,7.222222222222222,6.222222222222222,1.5555555555555556,4.222222222222222,13.333333333333334,0.4444444444444444,1.0,59.44444444444444,12.88888888888889,264.1111111111111,14.555555555555555,26.666666666666668,128.77777777777777,2.0,11.666666666666666,30.77777777777778,135.33333333333334,7.555555555555555,62.0,0.0,2.5555555555555554,1.3333333333333333,1.1111111111111112,0.5555555555555556,1759.2222222222222,11.88888888888889,253.66666666666666,Panthers,27.77777777777778,18.11111111111111,10.666666666666666,4.555555555555555,2.888888888888889,5.888888888888889,13.0,0.0,0.1111111111111111,59.666666666666664,12.222222222222221,309.77777777777777,16.22222222222222,27.333333333333332,218.0,1.3333333333333333,10.777777777777779,31.0,91.77777777777777,6.333333333333333,49.77777777777778,0.0,3.3333333333333335,0.7777777777777778,1.1111111111111112,0.4444444444444444,1814.5555555555557,18.444444444444443,295.55555555555554,11.0,2005,1.0,0.11111111111111116,0.6666666666666679,-10.88888888888889,-9.11111111111111,3.3333333333333335,10.444444444444445,0.8888888888888888,0.4444444444444444,0.5555555555555555,0.0,-0.6666666666666643,-1.666666666666666,-89.22222222222223,1.2222222222222223,12.222222222222221,-0.22222222222222143,-6.555555555555554,-55.333333333333485,-0.7777777777777781,0.0,-0.22222222222222143,43.55555555555557,0.6666666666666667,0.8888888888888875,-10.444444444444446,0.3333333333333339,-1.666666666666667,-41.888888888888886,-45.666666666666686
Bears,982,16.545454545454547,15.0,7.090909090909091,6.2727272727272725,1.6363636363636365,4.090909090909091,13.454545454545455,0.36363636363636365,0.8181818181818182,59.54545454545455,13.0,261.27272727272725,14.545454545454545,26.727272727272727,128.72727272727272,1.8181818181818181,10.727272727272727,31.0,132.54545454545453,7.363636363636363,60.72727272727273,0.0,2.5454545454545454,1.0909090909090908,1.0909090909090908,0.45454545454545453,1770.7272727272727,10.909090909090908,254.1818181818182,Packers,21.09090909090909,19.272727272727273,12.636363636363637,4.545454545454546,2.090909090909091,5.545454545454546,12.818181818181818,0.2727272727272727,0.8181818181818182,62.18181818181818,12.0,314.8181818181818,23.454545454545453,36.72727272727273,239.27272727272728,1.2727272727272727,9.090909090909092,24.181818181818183,75.54545454545455,7.181818181818182,55.45454545454545,0.0,2.909090909090909,0.7272727272727273,1.7272727272727273,0.36363636363636365,1783.0,20.272727272727273,298.8181818181818,13.0,2005,1.0,0.09090909090909088,1.0,-12.181818181818183,-11.0,4.181818181818182,10.454545454545453,0.0,0.09090909090909094,0.36363636363636354,-0.6363636363636365,-10.0,-8.909090909090908,-110.54545454545456,0.18181818181818166,5.272727272727273,-2.636363636363633,-9.363636363636365,-12.272727272727252,-0.36363636363636376,0.0,6.818181818181817,56.999999999999986,0.5454545454545454,1.636363636363635,-4.545454545454543,0.6363636363636367,-1.454545454545455,-44.636363636363626,-53.54545454545456
Bears,1023,16.153846153846153,14.615384615384615,6.923076923076923,6.230769230769231,1.4615384615384615,3.6923076923076925,13.153846153846153,0.38461538461538464,0.8461538461538461,58.61538461538461,13.23076923076923,256.3076923076923,14.076923076923077,26.615384615384617,126.92307692307692,2.0,12.23076923076923,30.0,129.3846153846154,6.615384615384615,56.46153846153846,0.0,2.6153846153846154,1.0,1.0,0.5384615384615384,1719.3846153846155,11.384615384615385,270.53846153846155,Falcons,24.076923076923077,20.53846153846154,9.384615384615385,9.384615384615385,1.7692307692307692,6.076923076923077,13.692307692307692,0.3076923076923077,0.6923076923076923,64.07692307692308,12.923076923076923,346.3076923076923,14.923076923076923,27.384615384615383,173.07692307692307,2.1538461538461537,11.461538461538462,34.53846153846154,173.23076923076923,7.230769230769231,62.53846153846154,0.0,3.6153846153846154,0.8461538461538461,0.7692307692307693,0.38461538461538464,1833.3076923076924,19.53846153846154,317.46153846153845,15.0,2005,1.0,0.1538461538461538,0.3076923076923066,-13.615384615384617,-7.923076923076923,4.461538461538462,5.23076923076923,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923073,-0.7692307692307665,-0.8461538461538467,-46.153846153846146,-0.6153846153846159,-6.07692307692308,-5.461538461538467,-8.153846153846155,-113.9230769230769,-1.0,0.0,-4.53846153846154,-43.84615384615384,-0.15384615384615374,0.7692307692307683,-7.923076923076923,-0.5384615384615383,-2.384615384615384,-46.923076923076906,-90.0
Bengals,822,27.0,26.0,15.0,9.0,2.0,2.0,8.0,0.0,1.0,68.0,11.0,420.0,26.0,34.0,272.0,2.0,8.0,32.0,148.0,5.0,40.0,0.0,5.0,1.0,1.0,0.0,2053.0,13.0,373.0,Vikings,13.0,15.0,9.0,2.0,4.0,5.0,11.0,0.0,0.0,51.0,11.0,248.0,22.0,33.0,215.0,3.0,18.0,15.0,33.0,9.0,70.0,0.0,2.0,2.0,3.0,2.0,1766.0,24.0,345.0,2.0,2005,1.0,-2.0,0.0,0.0,-7.0,5.0,24.0,1.0,0.0,-1.0,-2.0,1.0,4.0,57.0,-4.0,-30.0,17.0,-11.0,287.0,3.0,0.0,17.0,115.0,-1.0,-10.0,14.0,-3.0,-3.0,28.0,172.0
Bengals,851,29.333333333333332,21.0,12.333333333333334,7.333333333333333,1.3333333333333333,4.0,13.0,0.3333333333333333,0.6666666666666666,68.33333333333333,13.333333333333334,389.3333333333333,23.0,32.333333333333336,256.6666666666667,1.0,5.333333333333333,35.0,132.66666666666666,10.333333333333334,77.33333333333333,0.0,5.0,0.6666666666666666,0.6666666666666666,0.0,2080.3333333333335,9.333333333333334,310.6666666666667,Texans,7.0,14.0,7.5,5.5,1.0,5.5,12.5,0.5,1.0,54.0,10.0,170.5,12.5,23.5,66.5,6.5,52.0,24.0,104.0,6.5,48.0,0.0,1.0,1.5,1.5,0.0,1579.5,24.5,352.0,4.0,2005,1.0,0.0,3.333333333333334,-1.666666666666666,-6.166666666666667,6.333333333333333,15.5,-0.33333333333333337,-0.16666666666666669,-0.8333333333333334,-0.8333333333333334,8.833333333333336,10.5,190.16666666666669,3.833333333333334,29.33333333333333,14.333333333333329,-15.166666666666666,500.8333333333335,4.0,0.0,11.0,28.666666666666657,-5.5,-46.666666666666664,22.333333333333332,0.5,-1.5,-41.333333333333314,218.83333333333331
Bengals,893,25.833333333333332,21.5,13.833333333333334,6.0,1.6666666666666667,3.8333333333333335,12.0,0.16666666666666666,0.6666666666666666,64.83333333333333,11.666666666666666,381.6666666666667,23.833333333333332,32.833333333333336,257.1666666666667,1.3333333333333333,5.0,30.666666666666668,124.5,10.166666666666666,79.16666666666667,0.0,4.333333333333333,0.5,0.3333333333333333,0.3333333333333333,1982.3333333333333,14.0,317.5,Steelers,24.4,18.2,8.8,6.2,3.2,3.4,11.2,0.2,0.4,56.4,12.0,322.0,12.6,22.8,202.6,2.0,10.8,31.6,119.4,6.2,57.2,0.0,3.4,0.6,0.6,0.2,1744.6,16.4,295.0,7.0,2005,0.0,0.1333333333333333,-0.3333333333333339,-4.366666666666665,-7.133333333333334,2.8,15.3,0.2666666666666666,-0.033333333333333354,-0.09999999999999998,-0.26666666666666666,10.033333333333335,11.233333333333333,54.56666666666669,3.966666666666666,21.96666666666667,8.43333333333333,-2.3999999999999986,237.73333333333335,0.9333333333333331,0.0,-0.9333333333333336,5.099999999999994,-0.6666666666666667,-5.800000000000001,1.4333333333333336,0.8000000000000007,0.43333333333333357,22.5,59.666666666666686
Bengals,903,24.0,21.285714285714285,13.428571428571429,6.142857142857143,1.7142857142857142,3.7142857142857144,11.857142857142858,0.14285714285714285,0.5714285714285714,63.714285714285715,11.714285714285714,370.2857142857143,23.428571428571427,33.285714285714285,250.57142857142858,1.4285714285714286,6.571428571428571,29.0,119.71428571428571,9.285714285714286,72.85714285714286,0.0,4.142857142857143,0.42857142857142855,0.5714285714285714,0.2857142857142857,1909.2857142857142,15.857142857142858,315.57142857142856,Packers,24.0,19.5,13.0,4.333333333333333,2.1666666666666665,5.666666666666667,12.833333333333334,0.3333333333333333,0.8333333333333334,62.333333333333336,12.166666666666666,327.1666666666667,25.0,37.333333333333336,254.83333333333334,1.3333333333333333,9.333333333333334,23.666666666666668,72.33333333333333,8.0,63.0,0.0,3.3333333333333335,0.5,1.3333333333333333,0.6666666666666666,1796.3333333333333,19.666666666666668,306.8333333333333,8.0,2005,1.0,-0.38095238095238093,-0.45238095238095255,-6.071428571428571,-11.285714285714286,3.9761904761904767,16.952380952380953,-0.261904761904762,-0.19047619047619047,-0.07142857142857145,-0.7619047619047619,-4.047619047619051,-1.571428571428573,-4.261904761904759,1.2857142857142865,9.857142857142861,1.3809523809523796,-3.80952380952381,112.95238095238096,0.8095238095238098,0.0,5.333333333333332,47.38095238095238,0.09523809523809534,-2.7619047619047628,0.0,-0.9761904761904763,-1.9523809523809526,8.73809523809524,43.11904761904759
Bengals,956,23.333333333333332,21.666666666666668,13.333333333333334,6.444444444444445,1.8888888888888888,4.444444444444445,11.88888888888889,0.1111111111111111,0.4444444444444444,63.55555555555556,11.555555555555555,359.77777777777777,22.77777777777778,32.55555555555556,245.55555555555554,1.5555555555555556,8.333333333333334,29.444444444444443,114.22222222222223,8.11111111111111,69.11111111111111,0.0,3.7777777777777777,0.4444444444444444,0.5555555555555556,0.2222222222222222,1909.111111111111,14.88888888888889,311.3333333333333,Colts,28.88888888888889,24.0,13.666666666666666,8.88888888888889,1.4444444444444444,6.222222222222222,11.555555555555555,0.3333333333333333,0.5555555555555556,63.55555555555556,9.777777777777779,372.0,21.444444444444443,30.666666666666668,238.44444444444446,0.6666666666666666,2.5555555555555554,32.22222222222222,133.55555555555554,5.444444444444445,36.333333333333336,0.0,4.111111111111111,0.5555555555555556,0.6666666666666666,0.6666666666666666,1864.0,12.777777777777779,271.3333333333333,11.0,2005,0.0,-0.4444444444444444,1.7777777777777768,-10.666666666666666,-11.777777777777777,5.0,12.777777777777779,-0.11111111111111116,-0.2222222222222222,-0.11111111111111116,-0.11111111111111105,1.8888888888888893,1.3333333333333357,7.111111111111086,2.666666666666666,32.77777777777778,0.0,2.1111111111111107,45.111111111111086,-0.33333333333333304,0.0,-2.7777777777777786,-19.333333333333314,0.888888888888889,5.777777777777779,-5.555555555555557,0.3333333333333339,-1.7777777777777777,40.0,-12.222222222222229
Bengals,968,24.7,21.8,13.3,6.7,1.8,4.6,12.0,0.1,0.6,63.7,11.6,373.0,23.0,33.1,253.8,1.5,8.2,29.1,119.2,8.2,70.7,0.0,3.7,0.4,0.6,0.2,1886.0,17.9,325.3,Ravens,11.6,16.8,9.7,5.7,1.4,5.7,15.7,0.8,1.3,66.0,12.2,274.1,21.9,36.0,181.3,2.9,21.5,27.1,92.8,9.7,71.5,0.0,2.6,0.8,1.4,0.0,1877.9,18.4,272.0,12.0,2005,1.0,0.2,-0.5999999999999996,-3.5,-7.8999999999999995,5.300000000000001,16.1,-0.7000000000000001,-0.7000000000000001,-0.4,-0.7999999999999999,-2.8999999999999986,1.1000000000000014,72.5,-1.5,-0.7999999999999972,-2.299999999999997,-0.5,8.099999999999909,1.1,0.0,2.0,26.400000000000006,-1.4,-13.3,13.1,-3.6999999999999993,-1.1000000000000005,53.30000000000001,98.89999999999998
